FromNodeId,ToNodeId,Weight
6.0,1.0,-388.0
7.0,1.0,-292.0
14.0,1.0,-595.0
15.0,1.0,-211.0
16.0,1.0,-293.0
19.0,1.0,-286.0
23.0,1.0,-288.0
27.0,1.0,-291.0
32.0,1.0,-411.0
45.0,1.0,-322.0
46.0,1.0,-323.0
49.0,1.0,-173.0
52.0,1.0,-283.0
63.0,1.0,-211.0
68.0,1.0,-306.0
74.0,1.0,-213.0
76.0,1.0,-261.0
78.0,1.0,-243.0
86.0,1.0,-258.0
94.0,1.0,-268.0
95.0,1.0,-256.0
101.0,1.0,-221.0
102.0,1.0,-240.0
110.0,1.0,-188.0
112.0,1.0,-180.0
115.0,1.0,-327.0
127.0,1.0,-411.0
129.0,1.0,-259.0
134.0,1.0,-333.0
136.0,1.0,-362.0
139.0,1.0,-361.0
153.0,1.0,-228.0
157.0,1.0,-221.0
159.0,1.0,-467.0
167.0,1.0,-268.0
170.0,1.0,-356.0
173.0,1.0,-213.0
176.0,1.0,-732.0
178.0,1.0,-319.0
184.0,1.0,-237.0
185.0,1.0,-207.0
193.0,1.0,-317.0
195.0,1.0,-44.0
201.0,1.0,-248.0
202.0,1.0,-337.0
204.0,1.0,-214.0
217.0,1.0,-407.0
221.0,1.0,-207.0
227.0,1.0,-243.0
230.0,1.0,-332.0
241.0,1.0,-437.0
246.0,1.0,-366.0
247.0,1.0,-273.0
251.0,1.0,-211.0
252.0,1.0,-348.0
256.0,1.0,-218.0
257.0,1.0,-288.0
264.0,1.0,-246.0
266.0,1.0,-368.0
268.0,1.0,-210.0
269.0,1.0,-83.0
271.0,1.0,-453.0
274.0,1.0,-216.0
290.0,1.0,-261.0
293.0,1.0,-399.0
294.0,1.0,-312.0
298.0,1.0,-416.0
302.0,1.0,-481.0
304.0,1.0,-293.0
307.0,1.0,-500.0
308.0,1.0,-345.0
321.0,1.0,-262.0
323.0,1.0,-288.0
324.0,1.0,-316.0
326.0,1.0,-290.0
331.0,1.0,-318.0
336.0,1.0,-331.0
342.0,1.0,-366.0
349.0,1.0,-212.0
350.0,1.0,-469.0
354.0,1.0,-163.0
355.0,1.0,-292.0
360.0,1.0,-438.0
361.0,1.0,-240.0
364.0,1.0,-309.0
366.0,1.0,-419.0
367.0,1.0,-359.0
368.0,1.0,-359.0
369.0,1.0,-349.0
383.0,1.0,-321.0
393.0,1.0,-252.0
394.0,1.0,-319.0
396.0,1.0,-434.0
398.0,1.0,-161.0
402.0,1.0,-229.0
406.0,1.0,-596.0
408.0,1.0,-330.0
417.0,1.0,-248.0
419.0,1.0,-505.0
420.0,1.0,-290.0
434.0,1.0,-283.0
435.0,1.0,-193.0
437.0,1.0,-40.0
438.0,1.0,-211.0
441.0,1.0,-391.0
444.0,1.0,-322.0
8.0,2.0,-205.0
14.0,2.0,-632.0
16.0,2.0,-300.0
19.0,2.0,-238.0
26.0,2.0,-445.0
27.0,2.0,-295.0
32.0,2.0,-205.0
33.0,2.0,-209.0
38.0,2.0,-439.0
40.0,2.0,-234.0
45.0,2.0,-455.0
46.0,2.0,-344.0
50.0,2.0,-230.0
52.0,2.0,-313.0
53.0,2.0,-275.0
63.0,2.0,-216.0
65.0,2.0,-355.0
66.0,2.0,-275.0
67.0,2.0,-364.0
68.0,2.0,-275.0
71.0,2.0,-252.0
74.0,2.0,-244.0
76.0,2.0,-247.0
78.0,2.0,-271.0
81.0,2.0,-161.0
82.0,2.0,-205.0
84.0,2.0,-268.0
86.0,2.0,-260.0
90.0,2.0,-182.0
94.0,2.0,-49.0
95.0,2.0,-275.0
100.0,2.0,-225.0
101.0,2.0,-201.0
102.0,2.0,-290.0
123.0,2.0,-251.0
127.0,2.0,-158.0
133.0,2.0,-289.0
136.0,2.0,-320.0
139.0,2.0,-285.0
140.0,2.0,-161.0
142.0,2.0,-224.0
143.0,2.0,-288.0
150.0,2.0,-1125.0
153.0,2.0,-283.0
159.0,2.0,-277.0
162.0,2.0,-278.0
163.0,2.0,-223.0
168.0,2.0,-300.0
170.0,2.0,-349.0
176.0,2.0,-610.0
178.0,2.0,-99.0
180.0,2.0,-227.0
184.0,2.0,-275.0
190.0,2.0,-203.0
193.0,2.0,-280.0
200.0,2.0,-750.0
204.0,2.0,-189.0
217.0,2.0,-252.0
222.0,2.0,-210.0
223.0,2.0,-200.0
229.0,2.0,-204.0
230.0,2.0,-263.0
237.0,2.0,-292.0
241.0,2.0,-168.0
245.0,2.0,-165.0
246.0,2.0,-257.0
247.0,2.0,-258.0
251.0,2.0,-260.0
259.0,2.0,-220.0
264.0,2.0,-200.0
266.0,2.0,-294.0
268.0,2.0,-247.0
269.0,2.0,-258.0
271.0,2.0,-794.0
272.0,2.0,-212.0
274.0,2.0,-269.0
276.0,2.0,-235.0
279.0,2.0,-309.0
290.0,2.0,-214.0
293.0,2.0,-186.0
294.0,2.0,-324.0
298.0,2.0,-293.0
302.0,2.0,-305.0
304.0,2.0,-170.0
305.0,2.0,-248.0
306.0,2.0,-257.0
307.0,2.0,-264.0
308.0,2.0,-286.0
313.0,2.0,-276.0
319.0,2.0,-217.0
321.0,2.0,-210.0
323.0,2.0,-319.0
324.0,2.0,-253.0
326.0,2.0,-283.0
331.0,2.0,-329.0
336.0,2.0,-670.0
342.0,2.0,-283.0
348.0,2.0,-313.0
350.0,2.0,-298.0
355.0,2.0,-414.0
360.0,2.0,-307.0
364.0,2.0,-251.0
367.0,2.0,-279.0
368.0,2.0,-300.0
369.0,2.0,-327.0
372.0,2.0,-279.0
376.0,2.0,-465.0
381.0,2.0,-273.0
383.0,2.0,-335.0
388.0,2.0,-154.0
390.0,2.0,-660.0
396.0,2.0,-173.0
402.0,2.0,-214.0
406.0,2.0,-319.0
407.0,2.0,-304.0
408.0,2.0,-289.0
411.0,2.0,-211.0
417.0,2.0,-610.0
419.0,2.0,-218.0
420.0,2.0,-160.0
423.0,2.0,-210.0
430.0,2.0,-360.0
432.0,2.0,-164.0
434.0,2.0,-288.0
440.0,2.0,-304.0
444.0,2.0,-180.0
449.0,2.0,-769.0
4.0,3.0,-406.0
5.0,3.0,-241.0
6.0,3.0,-298.0
7.0,3.0,-270.0
8.0,3.0,-297.0
9.0,3.0,-166.0
10.0,3.0,-311.0
11.0,3.0,-243.0
13.0,3.0,-570.0
14.0,3.0,-606.0
15.0,3.0,-165.0
16.0,3.0,-186.0
