Edge_Number,Average_Neighbor_Degree
57.0,25.473684210526315
0.0,39.25
70.0,33.0
113.0,25.473684210526315
138.0,36.32
154.0,37.04545454545455
166.0,29.64864864864865
235.0,41.88235294117647
262.0,41.0
275.0,32.93103448275862
280.0,24.6
309.0,25.224137931034484
347.0,30.48780487804878
378.0,30.48780487804878
413.0,35.88461538461539
416.0,25.403508771929825
451.0,25.785714285714285
24.0,45.45454545454545
98.0,33.38095238095238
358.0,28.523809523809526
425.0,28.85
428.0,26.035714285714285
25.0,43.72727272727273
277.0,45.3
339.0,31.379310344827587
31.0,45.8
73.0,37.6875
148.0,29.714285714285715
42.0,29.5
384.0,35.86666666666667
397.0,33.0
431.0,35.875
58.0,35.03846153846154
61.0,33.55555555555556
88.0,34.06896551724138
92.0,34.19230769230769
132.0,35.5
141.0,38.3
146.0,44.0
183.0,39.38461538461539
203.0,35.5
207.0,31.75
287.0,35.28
299.0,37.42857142857143
320.0,36.30434782608695
334.0,36.57692307692308
335.0,40.94736842105263
343.0,46.8
353.0,40.785714285714285
371.0,39.7
377.0,39.285714285714285
380.0,39.285714285714285
392.0,38.45454545454545
400.0,34.64
405.0,38.40909090909091
410.0,38.45454545454545
414.0,38.40909090909091
429.0,30.214285714285715
442.0,35.69565217391305
454.0,37.0
340.0,39.1875
446.0,39.0
