Edge_Number,Clustering_Coefficient
57.0,0.42145653876272515
0.0,0.9
70.0,0.7013210798391729
113.0,0.4272959183673469
138.0,0.8168402777777778
154.0,0.8106575963718821
166.0,0.5120967741935484
235.0,0.92578125
262.0,0.8777777777777778
275.0,0.6564039408866995
280.0,0.4049671292914536
309.0,0.4147005444646098
347.0,0.623780487804878
378.0,0.623780487804878
413.0,0.8431952662721893
416.0,0.41948621553884713
451.0,0.43344155844155846
24.0,0.9181818181818182
98.0,0.7714285714285715
358.0,0.6075
425.0,0.6075
428.0,0.4459504132231405
25.0,0.9
277.0,0.9
339.0,0.6403940886699507
31.0,0.8555555555555555
73.0,0.8416666666666667
148.0,0.7184035476718403
42.0,0.9285714285714286
384.0,0.7571428571428571
397.0,0.9285714285714286
431.0,0.7791666666666667
58.0,0.8368
61.0,0.742603550295858
88.0,0.7783251231527094
92.0,0.764
132.0,0.7681159420289855
141.0,0.9224376731301939
146.0,0.9181818181818182
183.0,0.8397435897435898
203.0,0.8015122873345936
207.0,0.6531746031746032
287.0,0.8229166666666666
299.0,0.9619047619047619
320.0,0.8419421487603306
334.0,0.8448
335.0,0.9166666666666666
343.0,0.9180327868852459
353.0,0.9230769230769231
371.0,0.8961218836565097
377.0,0.9619047619047619
380.0,0.9619047619047619
392.0,0.927437641723356
400.0,0.7433333333333333
405.0,0.961038961038961
410.0,0.927437641723356
414.0,0.961038961038961
429.0,0.6149825783972126
442.0,0.7881081081081082
454.0,0.8472222222222222
340.0,0.9422222222222222
446.0,0.9511111111111111
